Date,Replicating_Portfolio
2020-09-15,100.0
2020-09-16,99.82846218636782
2020-09-17,98.93485882828145
2020-09-18,99.95772576122528
2020-09-21,97.1500677006665
2020-09-22,96.45808223745459
2020-09-23,96.25735416428552
2020-09-24,96.3625964889969
2020-09-25,97.0591288758339
2020-09-28,98.39660411347174
2020-09-29,98.19912426655165
2020-09-30,99.35955323475015
2020-10-01,98.67901099329835
2020-10-02,98.29971117005172
2020-10-05,99.79284167284307
2020-10-06,98.52968579651052
2020-10-07,99.75397131328268
2020-10-08,100.72679407004209
2020-10-09,101.70761543608809
2020-10-12,102.43359695338424
2020-10-13,100.23243256030916
2020-10-14,99.97513845172212
2020-10-15,99.81139768842245
2020-10-16,100.24985737439937
2020-10-19,97.87871773442798
2020-10-20,98.12223133758236
2020-10-21,97.58010192131906
2020-10-22,98.93816967192546
2020-10-23,99.22117340075602
2020-10-26,97.99954915969579
2020-10-27,97.15744337087604
2020-10-28,94.02008008839657
2020-10-29,93.53305479067426
2020-10-30,93.67584484191825
2020-11-02,94.98538062719501
2020-11-03,95.5574624897577
2020-11-04,95.36232953896379
2020-11-05,96.42659917013059
2020-11-06,97.45264928618683
2020-11-09,102.4548238198744
2020-11-10,103.5419602865739
2020-11-11,102.91656416744851
2020-11-12,102.88175735553922
2020-11-13,103.88247244439587
2020-11-16,105.07259574774037
2020-11-17,104.02276756892141
2020-11-18,102.78834806166667
2020-11-19,102.73225764916668
2020-11-20,102.10730170254848
2020-11-23,102.01881662134411
2020-11-24,103.17945616589263
2020-11-25,102.80316591429914
2020-11-27,102.80174265031208
2020-11-30,102.45398006298623
2020-12-01,104.33102347098755
2020-12-02,105.18972326125005
2020-12-03,105.47914275616093
2020-12-04,106.39237523875487
2020-12-07,105.59938766702206
2020-12-08,107.00431413750105
2020-12-09,107.63065662715196
2020-12-10,107.01012354257017
2020-12-11,107.23315638300967
2020-12-14,104.89044943175307
2020-12-15,106.1225961016577
2020-12-16,105.7159523184667
2020-12-17,107.61477623224648
2020-12-18,107.96494706184025
2020-12-21,108.12028151598406
2020-12-22,107.55952915223487
2020-12-23,107.86659924189088
2020-12-24,108.03282138574006
2020-12-28,108.59236865837404
2020-12-29,109.03000024203266
2020-12-30,110.12566742081822
2020-12-31,111.20089243785739
2021-01-04,110.4748592989802
2021-01-05,111.60444305675085
2021-01-06,113.66655056393141
2021-01-07,114.88189228582362
2021-01-08,114.73762698327779
2021-01-11,114.81486408252469
2021-01-12,114.61736773380777
2021-01-13,114.51693729299537
2021-01-14,116.16839962025126
2021-01-15,115.43860009484206
2021-01-19,116.63579736719105
2021-01-20,115.97793821144991
2021-01-21,115.38588766015367
2021-01-22,116.1358590776967
2021-01-25,117.07677465885348
2021-01-26,119.36679770778517
2021-01-27,117.17881688148569
2021-01-28,118.34579170080119
2021-01-29,114.81311041810368
2021-02-01,114.79231305296221
2021-02-02,114.86761632168358
2021-02-03,114.79478961041065
2021-02-04,116.25849423454075
2021-02-05,117.51574448881244
2021-02-08,118.2303442649227
2021-02-09,118.83198320156684
2021-02-10,119.13782745963076
2021-02-11,118.65320094102802
2021-02-12,119.35590551447538
2021-02-16,119.27790913223365
2021-02-17,119.68986194483702
2021-02-18,119.83774484054639
2021-02-19,118.88338935901466
2021-02-22,119.12772741966207
2021-02-23,118.61585312723356
2021-02-24,120.3408718090997
2021-02-25,119.98616539489244
2021-02-26,116.8128244428703
2021-03-01,117.98973063978343
2021-03-02,117.72323323760935
2021-03-03,116.83897397020662
2021-03-04,114.64034132054628
2021-03-05,116.34543740748832
2021-03-08,117.4737896012764
2021-03-09,117.40351298914645
2021-03-10,118.89138746469139
2021-03-11,118.71227775278844
2021-03-12,119.35227794697727
2021-03-15,119.62606439269496
2021-03-16,119.73819622339082
2021-03-17,119.7543063643004
2021-03-18,120.14201527394772
2021-03-19,119.37231238777935
2021-03-22,118.72532303775836
2021-03-23,118.32076320036285
2021-03-24,119.40878016571229
2021-03-25,119.85505145387697
2021-03-26,121.9922343340909
2021-03-29,122.072435067174
2021-03-30,121.9044280932294
2021-03-31,121.06676271125144
2021-04-01,120.56651455782921
2021-04-05,121.06404134998931
2021-04-06,120.80950663277618
2021-04-07,121.44353629460277
2021-04-08,121.14024232121336
2021-04-09,120.46524076481097
2021-04-12,120.60382712661188
2021-04-13,119.04052069871868
2021-04-14,118.65583002577034
2021-04-15,119.11579733087616
2021-04-16,120.35484700051163
2021-04-19,120.45667586149116
2021-04-20,121.76629200866003
2021-04-21,122.09947871438828
2021-04-22,120.6570057795967
2021-04-23,121.44833765873528
2021-04-26,120.77503509119028
2021-04-27,120.41819915187888
2021-04-28,119.98410212958076
2021-04-29,121.81703536263859
2021-04-30,120.72846670024313
2021-05-03,121.96551904317649
2021-05-04,123.80010447995043
2021-05-05,123.86369804766984
2021-05-06,124.9080949754843
2021-05-07,125.43559853123705
2021-05-10,126.3835073050862
2021-05-11,125.05748635772825
2021-05-12,124.45649192735029
2021-05-13,126.27712209820922
2021-05-14,126.9585548455753
2021-05-17,127.1924296888422
2021-05-18,126.72412993732335
2021-05-19,126.25754060997552
2021-05-20,126.72970186740685
2021-05-21,127.0653559557484
2021-05-24,127.60711770818637
2021-05-25,126.98804166516335
2021-05-26,126.43699487942051
2021-05-27,126.83993393820784
2021-05-28,127.05441013764342
2021-06-01,125.43122755107062
2021-06-02,125.79605914556285
2021-06-03,125.73318135026503
