Date,DJI
2020-09-15,100.0
2020-09-16,100.1313822309332
2020-09-17,99.66559338857523
2020-09-18,98.79202530780378
2020-09-21,96.97130849016673
2020-09-22,97.4731032640707
2020-09-23,95.59763449624455
2020-09-24,95.78447983819471
2020-09-25,97.06511539198426
2020-09-28,98.52998676286076
2020-09-29,98.06062560175191
2020-09-30,99.23594981685439
2020-10-01,99.36168792243541
2020-10-02,98.88272045154166
2020-10-05,100.54666076676489
2020-10-06,99.20401784973294
2020-10-07,101.0996774876388
2020-10-08,101.53563453069046
2020-10-09,102.11212007278087
2020-10-12,103.00732950989357
2020-10-13,102.44399469052448
2020-10-14,101.85172059869419
2020-10-15,101.78099285117578
2020-10-16,102.1814532230241
2020-10-19,100.71375618324221
2020-10-20,101.11870927105241
2020-10-21,100.76876594748009
2020-10-22,101.31470828118196
2020-10-23,101.21437133276854
2020-10-26,98.89190114946977
2020-10-27,98.09823612064335
2020-10-28,94.72899170878048
2020-10-29,95.22607068005966
2020-10-30,94.66344772292086
2020-11-02,96.17601151142972
2020-11-03,98.15838877429003
2020-11-04,99.47156217108707
2020-11-05,101.4094361988994
2020-11-06,101.17090100079253
2020-11-09,104.15197764825366
2020-11-10,105.09122957181457
2020-11-11,105.00804077007002
2020-11-12,103.87407373127613
2020-11-13,105.30158549804767
2020-11-16,106.98266756725354
2020-11-17,106.38582411059548
2020-11-18,105.15373855267063
2020-11-19,105.3138011904619
2020-11-20,104.52885691252665
2020-11-23,105.69971599630931
2020-11-24,107.32486711858141
2020-11-25,106.70416433475859
2020-11-27,106.83953714302064
2020-11-30,105.86892538607871
2020-12-01,106.53074149026239
2020-12-02,106.74459366352754
2020-12-03,107.0508222491122
2020-12-04,107.93931985035526
2020-12-07,107.40898373200334
2020-12-08,107.78079902813157
2020-12-09,107.40548870053716
2020-12-10,107.15705435264617
2020-12-11,107.32532861650225
2020-12-14,106.66515935597576
2020-12-15,107.87163398406872
2020-12-16,107.71171105430373
2020-12-17,108.24333082611851
2020-12-18,107.79926669441653
2020-12-21,107.93285339940749
2020-12-22,107.21509989943443
2020-12-23,107.62345055987963
2020-12-24,107.87362962775708
2020-12-28,108.60267794484153
2020-12-29,108.3587082233467
2020-12-30,108.62264529649764
2020-12-31,109.32604172889977
2021-01-04,107.95943513729924
2021-01-05,108.5584899909998
2021-01-06,110.12230986981646
2021-01-07,110.87860852532687
2021-01-08,111.08163994718332
2021-01-11,110.76272779601669
2021-01-12,110.97704698249396
2021-01-13,110.94768966887729
2021-01-14,110.70139663028657
2021-01-15,110.06822667131883
2021-01-19,110.48350524208671
2021-01-20,111.40458292259935
2021-01-21,111.36039303489828
2021-01-22,110.72090172049785
2021-01-25,110.5888075034914
2021-01-26,110.50679098951447
2021-01-27,108.24261642249259
2021-01-28,109.31488994818925
2021-01-29,107.09761261064229
2021-02-01,107.91663770641865
2021-02-02,109.61537044725476
2021-02-03,109.74438797109045
2021-02-04,110.93121626953616
2021-02-05,111.26119953845976
2021-02-08,112.10961701300464
2021-02-09,112.07414777895403
2021-02-10,112.2955063204764
2021-02-11,112.27013938524537
2021-02-12,112.36908734223894
2021-02-16,112.59894384876286
2021-02-17,112.92138583081235
2021-02-18,112.49389077954095
2021-02-19,112.49739276886912
2021-02-22,112.59515495805078
2021-02-23,112.65109261002189
2021-02-24,114.16743694650451
2021-02-25,112.16765997099223
2021-02-26,110.49010793364643
2021-03-01,112.64451961053722
2021-03-02,112.13018765142783
2021-03-03,111.69644240193018
2021-03-04,110.46071484586547
2021-03-05,112.50446457724318
2021-03-08,113.59798926383354
2021-03-09,113.70622356615563
2021-03-10,115.36462400426963
2021-03-11,116.03819521315162
2021-03-12,117.0849694682304
2021-03-15,117.70942599608291
2021-03-16,117.25395592481806
2021-03-17,117.93056935399544
2021-03-18,117.38380327431499
2021-03-19,116.5467786615305
2021-03-22,116.91550986073158
2021-03-23,115.81516278495344
2021-03-24,115.8041261258452
2021-03-25,116.51645247406627
2021-03-26,118.13598733778474
2021-03-29,118.48780050943682
2021-03-30,118.11484879427822
2021-03-31,117.8097642306247
2021-04-01,118.42293198339408
2021-04-05,119.75878634354547
2021-04-06,119.4124701936842
2021-04-07,119.46970516739461
2021-04-08,119.67441128535967
2021-04-09,120.7354038319986
2021-04-12,120.53821938821879
2021-04-13,120.2948636614511
2021-04-14,120.48639789117917
2021-04-15,121.5762035617712
2021-04-16,122.16445221182371
2021-04-19,121.72494448359271
2021-04-20,120.8093430921701
2021-04-21,121.93812037138369
2021-04-22,120.79004654896049
2021-04-23,121.6029946139258
2021-04-26,121.38182381864873
2021-04-27,121.39382300498323
2021-04-28,120.80604987436418
2021-04-29,121.66325774505871
2021-04-30,121.00062561897073
2021-05-03,121.85211239978149
2021-05-04,121.92284004362408
2021-05-05,122.27042572433889
2021-05-06,123.40700247204767
2021-05-07,124.22581100552345
2021-05-10,124.10100071882623
2021-05-11,122.40909170901085
2021-05-12,119.97478023524903
2021-05-13,121.52427000839245
2021-05-14,122.81261469765755
2021-05-17,122.61851307641372
2021-05-18,121.66433081972427
2021-05-19,121.07630612767709
2021-05-20,121.7482314754363
2021-05-21,122.1900556770666
2021-05-24,122.85494813166528
2021-05-25,122.56376142360524
2021-05-26,122.60158798506534
2021-05-27,123.10734594056909
2021-05-28,123.33884140186971
2021-06-01,123.50265032856517
2021-06-02,123.59220120526312
2021-06-03,123.50883179090393
2021-06-04,124.14947410592447
2021-06-07,123.69885906940124
2021-06-08,123.59020644323346
2021-06-09,123.0448355954118
2021-06-10,123.1130520982926
2021-06-11,123.16078612438837
2021-06-14,122.8541250062703
2021-06-15,122.51685054424138
2021-06-16,121.56792936693083
2021-06-17,120.8170159371985
2021-06-18,118.91181951987609
2021-06-21,121.0081871843243
2021-06-22,121.25325877946453
2021-06-23,120.99843310749871
2021-06-24,122.15069238289468
